retailer_id,name,description,price,currency,image_url
e6blg00t7e,Tawouk Large,"Marinated chicken breast, garlic, coleslaw, fries, pickles & ketchup",500000,LBP,https://scontent.fbey5-2.fna.fbcdn.net/v/t45.5328-4/480021902_672846105081357_5710156852016646021_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=TrX7_3e62p0Q7kNvwF42HbS&_nc_oc=AdnGgPCMbC1gvqJEkplrsBsUcvuDoEJ1UTsqpukKXpT6iIkZQGmLt6Xp-EFLdqCYA3I&_nc_zt=23&_nc_ht=scontent.fbey5-2.fna&edm=ANyJclEEAAAA&_nc_gid=O7OOAnMrcpreKA_Cd9Rnbw&oh=00_AfG61PoOAVBnaUkj5hA8RgirbWIMkNSZHI19aUZ9o5ccWg&oe=681E956A
1a9t4rkh7q,Beef Burger,"Grilled beef burger patty, tomato, grilled onions, coleslaw, fries & ketchup",600000,LBP,https://scontent.fbey5-1.fna.fbcdn.net/v/t45.5328-4/475516471_911360701078146_4339379745518962064_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=ICqn03enWgUQ7kNvwERbIGS&_nc_oc=Adl3VKA7RQhxEWk9iGFt5kWontEFPx5qxEn5rKcygXLnnm__sBlHa5Bel8NH4R7IFgo&_nc_zt=23&_nc_ht=scontent.fbey5-1.fna&edm=ANyJclEEAAAA&_nc_gid=O7OOAnMrcpreKA_Cd9Rnbw&oh=00_AfHkTw1qQ7OKPtgfSHGxXi8pADlwFpbkLGt4_OpZXG-5Cw&oe=681E84F8
